DATES,T_PI,T_CI,m_PI,m_CI,APITR,ACITR,PITB,CITB,GOV,RGDP,DEBT,FF,PLEVEL,NBR,EMP,HperW,LF,CNDSV,CD,INR,"2006, frequenc"
1972.5,0.0000,0.0000,0.0000,0.0000,0.1676,0.3042,-15.2236,-17.4052,-14.7682,-15.1973,-16.2821,0.0474,3.2438,2.7382,-14.3200,0.5895,-14.2670,-15.1693,-15.9307,-15.7284,-15.4995
1972.75,0.0000,0.0000,0.0000,0.0000,0.1647,0.3152,-15.2049,-17.3580,-14.7762,-15.1856,-16.2818,0.0514,3.2520,2.7470,-14.3136,0.5854,-14.2644,-15.1560,-15.8838,-15.6822,-15.4587
1973,0.0000,0.0000,0.0000,0.0000,0.1718,0.3216,-15.1899,-17.3232,-14.7645,-15.1651,-16.2921,0.0654,3.2640,2.7146,-14.3075,0.5859,-14.2604,-15.1505,-15.8267,-15.6412,-15.4220
1973.25,0.0000,0.0000,0.0000,0.0000,0.1703,0.3325,-15.1819,-17.3740,-14.7848,-15.1582,-16.3027,0.0782,3.2831,2.7010,-14.3037,0.5868,-14.2573,-15.1535,-15.8433,-15.6058,-15.4180
1973.5,0.0000,0.0000,0.0000,0.0000,0.1710,0.3173,-15.1806,-17.3979,-14.8328,-15.1682,-16.3252,0.1056,3.3011,2.7002,-14.3039,0.5883,-14.2578,-15.1524,-15.8569,-15.5938,-15.4256
1973.75,0.0000,0.0000,0.0000,0.0000,0.1712,0.3256,-15.1716,-17.4013,-14.8367,-15.1634,-16.3485,0.1000,3.3214,2.7551,-14.2999,0.5827,-14.2527,-15.1562,-15.8852,-15.5907,-15.4403
1974,0.0000,0.0000,0.0000,0.0000,0.1765,0.3295,-15.1799,-17.4890,-14.8103,-15.1768,-16.3685,0.0932,3.3507,2.7611,-14.2996,0.5795,-14.2512,-15.1671,-15.9135,-15.5964,-15.4689
1974.25,0.0000,0.0000,0.0000,0.0000,0.1793,0.3515,-15.1908,-17.5323,-14.8165,-15.1788,-16.3967,0.1125,3.3786,2.6645,-14.3031,0.5743,-14.2518,-15.1686,-15.9127,-15.6032,-15.4880
1974.5,0.0000,0.0000,0.0000,0.0000,0.1798,0.4020,-15.1970,-17.5988,-14.8161,-15.1935,-16.4217,0.1209,3.4053,2.6463,-14.3078,0.5739,-14.2513,-15.1695,-15.9116,-15.6196,-15.5104
1974.75,0.0000,0.0000,0.0000,0.0000,0.1792,0.3649,-15.2158,-17.6687,-14.8135,-15.2021,-16.4388,0.0935,3.4304,2.8227,-14.3190,0.5709,-14.2500,-15.1753,-16.0163,-15.6527,-15.5735
